Parent ASIN,Title,Brand,Variant 1,Variant 2,Variant 3,Variant 4,Variant 5,Variant 6,Variant 7,Variant 8,Variant 9,Variant 10
B0D5LGBCSS,"THE GYM PEOPLE Tummy Control Workout Leggings with Pockets High Waist Athletic Yoga Pants for Women Running, Fitness Dark Blue Green X-Large","THE GYM PEOPLE",B0D6W6VKMR,B08G86WSPM,B0DHWRRMP9,B08G873RBQ,B0DHWQWR1X,B0DHWRP43V,B08G83GBLQ,B0DHWQT6PP,B0D6W8BF6R,B0BGBTMDVX
B0DLW33WP5,"THE GYM PEOPLE Women's High Waisted Jeggings Pants Stretchy Tummy Control Skinny Jean Leggings with Pockets Denim Blue Small","THE GYM PEOPLE",B0DLW7VNQV,B0DLW3HZGD,B0DLW5SJQF,B0DLW4D856,B0DLW4TS62,B0DLW5H12F,B0DLW36932,B0DLWBM8JT,,
B0DFWP9YLF,"THE GYM PEOPLE Women's High Waist Drawstring Stretchy Workout Leggings Ultra Soft Tummy Control Yoga Pants with Pockets Grey Green Heather Medium","THE GYM PEOPLE",B0DFWQLR99,B0DFWP24WG,B0DFWP7VCS,B0DFWNFT9F,B0DFWMWS6B,B0DFWLJCSW,B0DFWMG117,B0DFWQTYSY,B0DFWP1QDN,B0DFWP39GD
B0DFY9PQZ4,"THE GYM PEOPLE Women's High Waist Yoga Leggings Ultra Stretchy Soft Breathable Tummy Control Running Workout Pants Charcoal Grey Small-Medium","THE GYM PEOPLE",B0DFYBXLR7,B0DFYB61FY,B0DFY9TBXN,B0DFY9PR1X,B0DFY8KMLQ,B0DFY8BN5N,B0DFYBKQNK,B0DFY97D5M,B0DFY9FHGR,B0DFYB8498
B0DFWNJKKX,"THE GYM PEOPLE Women's High Waist Yoga Pants Soft Tummy Control Athletic Workout Leggings with Deep Pockets Navy Blue Medium","THE GYM PEOPLE",B0DFWNNVW5,B0DFWNFQMG,B0DFWNZJX8,B0DGQ5WX4Q,B0DFWNCSL6,B0DFWQ8L28,B0DFWP59R8,B0DFWNQ192,B0DGQ1WJ6C,B0DFWMVSQD
B0CH2Z6HVY,"THE GYM PEOPLE Women's Long Sleeve Workout Shirts Back Loose Fit Running Tee Tops with Thumb Hole Small Light Blue","THE GYM PEOPLE",B0CH33CSHM,B0CH327X57,B0DCJH4FXF,B0CH3259RQ,B0CH32THW7,B0DCJBSWBY,B0CH31P6W5,B0DCHYT391,B0DCJNQTF9,B0DCHVTCRF
B0CCJFKZKK,"THE GYM PEOPLE Women's Long Sleeve Workout Shirts Athletic Crewneck Hiking Tops with Thumb Hole Medium White","THE GYM PEOPLE",B0DF753YSD,B0CN14QL92,B0CCJK2QLX,B0CN14D36F,B0DF752RPJ,B0DF759SB4,B0CCJKSX52,B0DF74W94W,B0CCJHTMNX,B0DF75WR1V
B0D8KXGZZ6,"THE GYM PEOPLE Women's Soft Oversized Sweatshirt Crewneck Loose fit Lightweight Pullover Tops Light Grey Large","THE GYM PEOPLE",B0D8KX5KWN,B0D8KSLH8T,B0D8KYTNMT,B0D8KVC7DR,B0D8KZ4G7D,B0D8KXMKJB,B0D8KVLTD1,B0D8KX6X22,B0D8KXVKTL,B0D8KX2492
B0DG5HR2MJ,"THE GYM PEOPLE Women's Loose Fit Fleece Sweatshirts Crewneck Long Sleeve Pullover Tops Lavender Purple Large","THE GYM PEOPLE",B0DG575QF6,B0DG4TC4HS,B0DG4RQH3B,B0DG4W658J,B0DG52MDJS,B0DG4T2VYS,B0DG54XNGL,B0DG4YRC1C,B0DG4WGLG2,B0DG4SN83J
B088M5YWPZ,"THE GYM PEOPLE Womens' Sports Bra Longline Wirefree Padded with Medium Support White Large","THE GYM PEOPLE",B08CKLTNFJ,B08CK9WJ1C,B094GQ8DT5,B093Q6W6FT,B0BC9848F6,B094GQ1TH9,B0BC923RB4,B08CKGZJWQ,B0BG2FQMG8,B0BZ85JN8B
B0CYPLMSL1,"THE GYM PEOPLE Women's Adjustable Longline Sports Bras Scoop Neck Padded Wireless Workout Yoga Tops Denim Blue Medium","THE GYM PEOPLE",B0CYPJ27N3,B0CYP3YTYT,B0CYP2NDCG,B0CYP4SGHN,B0CYP7L7QG,B0CYPCD2SG,B0CYPJ2LGT,B0CYP2PD7F,B0DCDYVQ8X,B0CYP6RZNL
B0DHFJ9KQT,"THE GYM PEOPLE Girls Soft Workout Sweatpants Lightweight Casual Athletic Joggers Pants with Pockets Light Blue Small","THE GYM PEOPLE",B0DHFRBCGT,B0DHFYZB36,B0DHFR7GHH,B0DHFTK8XL,B0DHG21JT9,B0DHG7JM59,B0DHFMYG7N,B0DHFV1TQ6,B0DHFYB2P4,B0DHFMP6KK
B0DHFV42ZF,"THE GYM PEOPLE Girl's Fleece Tapered Workout Sweatpants Warm Soft Athletic Joggers Pants with Pockets Pink X-Small","THE GYM PEOPLE",B0DHG2BHTM,B0DHFPVFCK,B0DHG3YS8V,B0DHFN514F,B0DHFRM9GH,B0DHFRNYBN,B0DHFT4KJX,B0DHG1NVKB,B0DHFMRF2L,B0DHFX6Z6B
